,Course,Education Level,Institutions,Year,GM (%)
1,ACCA QUALIFICATION,Ijazah pertama,CRESCENDO INTERNATIONAL COLLEGE,2023,100
2,ACCA QUALIFICATION,Ijazah pertama,KOLEJ METHODIST KUALA LUMPUR,2023,100
3,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS,Ijazah pertama,KOLEJ ANTARABANGSA IMPERIUM,2023,100
4,B. ENG (HONS) CIVIL ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
5,B. ENG (HONS) COMMUNICATION AND ELECTRONIC ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
6,"B. ENG. (HONS) ELECTRONICS AND ELECTRICAL ENGINEERING 3+0 IN COLLABORATION WITH UNIVERSITY OF SUNDERLAND, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2022,100
7,"B. ENG. (HONS) ELECTRONICS AND ELECTRICAL ENGINEERING 3+0 IN COLLABORATION WITH UNIVERSITY OF SUNDERLAND, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
8,B. SC. (HONS) BUSINESS INFORMATION SYSTEMS,Ijazah pertama,UCSI UNIVERSITY,2022,100
9,B.ENG (HONS) ELECTRICAL AND ELECTRONICS ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
10,"BA (HONS) ACCOUNTING AND FINANCE 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2022,100
11,BA (HONS) ADVERTISING AND BRAND MANAGEMENT,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
12,"BA (HONS) ADVERTISING AND DIGITAL MARKETING COMMUNICATIONS 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
13,"BA (HONS) BUSINESS 3+0 IN COLLABORATION WITH UNIVERSITY OF PLYMOUTH, UK",Ijazah pertama,PENINSULA COLLEGE GEORGETOWN,2023,100
14,"BA (HONS) BUSINESS MANAGEMENT 3+0 IN COLLABORATION WITH LIVERPOOL JOHN MOORES UNIVERSITY, UK",Ijazah pertama,KOLEJ ANTARABANGSA YPC,2022,100
15,BA (HONS) DIGITAL FILM PRODUCTION,Ijazah pertama,SUNWAY UNIVERSITY,2023,100
16,"BA (HONS) DIGITAL MEDIA DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
17,"BA (HONS) EARLY YEARS EDUCATION 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2023,100
18,"BA (HONS) GRAPHIC DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
19,"BA (HONS) GRAPHIC DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2023,100
20,BA (HONS) IN ACCOUNTING AND FINANCE,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
21,BA (HONS) IN ANIMATION,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
22,BA (HONS) IN ANIMATION,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
23,BA (HONS) IN BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
24,BA (HONS) IN BUSINESS MANAGEMENT,Ijazah pertama,KOLEJ BINARY,2022,100
25,BA (HONS) IN DIGITAL ADVERTISING,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
26,BA (HONS) IN HUMAN RESOURCE MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
27,BA (HONS) IN HUMAN RESOURCE MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
28,BA (HONS) IN INTERNATIONAL BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
29,BA (HONS) IN INTERNATIONAL BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
30,BA (HONS) IN MARKETING MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
31,BA (HONS) IN MARKETING MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
32,BA (HONS) IN MEDIA MARKETING,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
33,"BA (HONS) INTERIOR ARCHITECTURE AND DESIGN IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
34,BA (HONS) INTERNATIONAL RELATIONS,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
35,BA (HONS) INTERNATIONAL RELATIONS,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
36,BA (HONS) MALAY LANGUAGE STUDIES,Ijazah pertama,KOLEJ UNIVERSITI SELATAN,2023,100
37,"BA (HONS) MARKETING MANAGEMENT 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2023,100
38,"BA (HONS) MEDIA AND COMMUNICATIONS 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
39,BA (HONS) OF CREATIVE IMAGING IN DIGITAL PHOTOGRAPHY,Ijazah pertama,LIMKOKWING UNIVERSITY OF CREATIVE TECHNOLOGY,2022,100
40,BA (HONS) PRODUCT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
41,BA (HONS) PRODUCT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
42,BA (HONS) TRANSPORT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
43,BA (HONS) VFX : VISUAL EFFECTS AND CONCEPT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
44,BA (HONS) VFX : VISUAL EFFECTS AND CONCEPT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
45,"BA (HONS)BUSINESS AND MANAGEMENT STUDIES 3+0 IN COLLABORATION WITH UNIVERSITY OF GLOUCESTERSHIRE, UK",Ijazah pertama,KOLEJ PENINSULA SHAH ALAM,2022,100
46,BACELOR BIMBINGAN DAN KAUNSELING (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
47,BACELOR BIMBINGAN DAN KAUNSELING (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
48,BACELOR BIOINFORMATIK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
49,BACELOR EKONOMI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
50,BACELOR EKONOMI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
51,"BACELOR EKSEKUTIF KESELAMATAN, KESIHATAN DAN PERSEKITARAN",Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
52,BACELOR EKSEKUTIF OPERASI DAN PENGURUSAN PROJEK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
53,BACELOR EKSEKUTIF OPERASI DAN PENGURUSAN PROJEK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
54,BACELOR EKSEKUTIF PENGURUSAN OPERASI INDUSTRI,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
55,BACELOR EKSEKUTIF PENGURUSAN OPERASI INDUSTRI,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
56,BACELOR EKSEKUTIF PENGURUSAN PROJEK (PETROLEUM & GAS),Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
57,BACELOR EKSEKUTIF PENGURUSAN PROJEK (PETROLEUM & GAS),Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
58,BACELOR EKSEKUTIF PENGURUSAN RANTAIAN BEKALAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
59,BACELOR EKSEKUTIF PENGURUSAN RANTAIAN BEKALAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
60,BACELOR EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK & GAS,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
61,BACELOR EKSEKUTIF TEKNOLOGI DAN PENGURUSAN MINYAK DAN GAS,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
62,BACELOR EKSEKUTIF TEKNOLOGI ELEKTRIK & ELEKTRONIK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
63,BACELOR EKSEKUTIF TEKNOLOGI KEJURUTERAAN INDUSTRI,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
64,BACELOR EKSEKUTIF TEKNOLOGI MEKANIKAL DAN PEMBUATAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
65,BACELOR EKSEKUTIF TEKNOLOGI MEKANIKAL DAN PEMBUATAN,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
66,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2022,100
67,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,Ijazah pertama,UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH,2023,100
68,BACELOR FORENSIK KOMPUTER (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
69,BACELOR FORENSIK KOMPUTER (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
70,BACELOR KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
71,BACELOR KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
72,BACELOR KEJURURAWATAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
73,BACELOR KEJURURAWATAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
74,BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
75,BACELOR KEJURUTERAAN AEROANGKASA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
76,BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
77,BACELOR KEJURUTERAAN AWAM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
78,BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
79,BACELOR KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
80,BACELOR KEJURUTERAAN KOMPUTER (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
81,BACELOR KEJURUTERAAN KOMPUTER (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
82,BACELOR KEJURUTERAAN MEKANIKAL DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
83,BACELOR KEJURUTERAAN PERISIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
84,BACELOR KEJURUTERAAN PERISIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
85,BACELOR KEJURUTERAAN PERTANIAN DAN BIOSISTEM DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
86,BACELOR KEJURUTERAAN PROSES DAN MAKANAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
87,BACELOR KEJURUTERAAN SISTEM KOMPUTER DAN KOMUNIKASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
88,BACELOR KEWANGAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
89,BACELOR KEWANGAN ISLAM (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
90,BACELOR KOMUNIKASI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
91,BACELOR KOMUNIKASI VISUAL DAN PEMASARAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
92,BACELOR MEDIA BARU (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
93,BACELOR MULTIMEDIA KREATIF (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
94,BACELOR MULTIMEDIA KREATIF (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
95,BACELOR MUZIK,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
96,BACELOR MUZIK,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
97,BACELOR MUZIK (PERSEMBAHAN MUZIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
98,BACELOR NUTRISI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
99,BACELOR OPTOMETRI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
100,BACELOR PEMASARAN DENGAN PSIKOLOGI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
101,BACELOR PEMASARAN DENGAN PSIKOLOGI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
102,BACELOR PENDIDIKAN (KEPUJIAN)-TESL,Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
103,BACELOR PENDIDIKAN (PENDIDIKAN JASMANI),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
104,BACELOR PENDIDIKAN (PENDIDIKAN JASMANI),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
105,BACELOR PENDIDIKAN (PENGAJARAN B. INGGERIS SEBAGAI B. KEDUA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
106,BACELOR PENDIDIKAN (SAINS) KEPUJIAN,Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
107,BACELOR PENDIDIKAN (SENI VISUAL) (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
108,BACELOR PENDIDIKAN AWAL KANAK-KANAK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
109,BACELOR PENDIDIKAN AWAL KANAK-KANAK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
110,BACELOR PENDIDIKAN BAHASA MELAYU,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
111,BACELOR PENDIDIKAN BIMBINGAN DAN KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
112,BACELOR PENDIDIKAN BIMBINGAN DAN KAUNSELING,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
113,BACELOR PENDIDIKAN JASMANI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
114,BACELOR PENDIDIKAN JASMANI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
115,BACELOR PENDIDIKAN PENGAJARAN BAHASA INGGERIS SEBAGAI BAHASA KEDUA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
116,BACELOR PENDIDIKAN SAINS PERTANIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
117,BACELOR PENDIDIKAN SAINS PERTANIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
118,BACELOR PENDIDIKAN SAINS RUMAH TANGGA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
119,BACELOR PENDIDIKAN SAINS RUMAH TANGGA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
120,BACELOR PENGAJIAN BAHASA INGGERIS DAN KESUSASTERAAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
121,BACELOR PENGAJIAN BAHASA INGGERIS DAN KESUSASTERAAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
122,BACELOR PENGAJIAN PENGGUNA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
123,BACELOR PENGAJIAN PENGGUNA,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
124,BACELOR PENGKOMPUTERAN PERNIAGAAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
125,BACELOR PENGKOMPUTERAN PERNIAGAAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
126,BACELOR PENGURUSAN ACARA (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
127,BACELOR PENGURUSAN ACARA (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
128,BACELOR PENGURUSAN ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
129,BACELOR PENGURUSAN ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
130,BACELOR PENGURUSAN HOSPITALITI DAN PELANCONGAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
131,BACELOR PENGURUSAN HOSPITALITI DAN PELANCONGAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
132,BACELOR PENGURUSAN INDUSTRI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
133,BACELOR PENGURUSAN ISLAM (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
134,BACELOR PENGURUSAN LOGISTIK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
135,BACELOR PENGURUSAN LOGISTIK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
136,"BACELOR PENGURUSAN LUAR, RIADAH DAN PENGEMBARAAN (KEPUJIAN)",Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
137,BACELOR PENGURUSAN MODAL INSAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
138,BACELOR PENGURUSAN PELABURAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
139,BACELOR PENGURUSAN PELABURAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
140,BACELOR PENGURUSAN PERHUBUNGAN AWAM (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
141,BACELOR PENGURUSAN PERHUBUNGAN AWAM (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
142,BACELOR PENGURUSAN SAINS KESIHATAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
143,BACELOR PENGURUSAN SAINS KESIHATAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
144,BACELOR PENTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
145,BACELOR PERAKAUNAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
146,BACELOR PERAKAUNAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
147,BACELOR PERAKAUNAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
148,BACELOR PERTADBIRAN PERNIAGAAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
149,BACELOR PERTANIAN (AKUAKULTUR),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
150,BACELOR PERTANIAN (AKUAKULTUR),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
151,BACELOR PERTANIAN (SAINS TERNAKAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
152,BACELOR PERUBATAN TRADISIONAL CINA (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
153,BACELOR PSIKOLOGI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
154,BACELOR PSIKOLOGI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
155,BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
156,BACELOR REKA BENTUK (REKA BENTUK PERINDUSTRIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
157,BACELOR REKA BENTUK GRAFIK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
158,BACELOR REKA BENTUK GRAFIK (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
159,BACELOR REKAAN PERMAINAN DAN ANIMASI (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
160,BACELOR SAINS (DIETETIK),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
161,BACELOR SAINS (KEPUJIAN) BIOTEKNOLOGI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
162,BACELOR SAINS (KEPUJIAN) KEJURUTERAAN MEKANIKAL,Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
163,BACELOR SAINS (KEPUJIAN) KEJURUTERAAN MEKANIKAL,Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
164,BACELOR SAINS (PEMBANGUNAN SUMBER MANUSIA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
165,BACELOR SAINS (PEMBANGUNAN SUMBER MANUSIA),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
166,BACELOR SAINS (PENGAJIAN MAKANAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
167,BACELOR SAINS (PENGAJIAN MAKANAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
168,BACELOR SAINS (PENGURUSAN PERKHIDMATAN MAKANAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
169,BACELOR SAINS (SAINS BIOPERUBATAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
170,BACELOR SAINS AKUAKULTUR DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
171,BACELOR SAINS BIOINDUSTRI,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
172,BACELOR SAINS BIOINDUSTRI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
173,BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
174,BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
175,BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
176,BACELOR SAINS BIOLOGI DENGAN PENDIDIKAN (KEPUJIAN),Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
177,BACELOR SAINS BIOLOGI SEL DAN MOLEKUL DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
178,BACELOR SAINS BIOPERUBATAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2022,100
179,BACELOR SAINS BIOPERUBATAN (KEPUJIAN),Ijazah pertama,MANAGEMENT AND SCIENCE UNIVERSITY,2023,100
180,BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
181,BACELOR SAINS BIOPERUBATAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
182,BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
183,BACELOR SAINS BIOTEKNOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
184,BACELOR SAINS DALAM SAINS BAHAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
185,BACELOR SAINS DALAM SAINS BAHAN DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
186,BACELOR SAINS DALAM SAINS INSTRUMENTASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
187,BACELOR SAINS DALAM SAINS INSTRUMENTASI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2023,100
188,BACELOR SAINS DAN TEKNOLOGI ALAM SEKITAR,Ijazah pertama,UNIVERSITI PUTRA MALAYSIA,2022,100
