,Course,Education Level,Institutions,Year,GM (%)
7560,"BACHELOR OF COMMERCE (INTERNATIONAL BUSINESS) 3+0 COLLABORATION WITH UNIVERSITY OF WOLLONGONG, AUSTRALIA",Ijazah pertama,KOLEJ ANTARABANGSA INTI SUBANG,2022,82.6
7561,BACHELOR OF INFORMATION TECHNOLOGY (HONS),Ijazah pertama,SEGi UNIVERSITY,2022,82.6
7562,IJAZAH SARJANA MUDA KAUNSELING DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI UTARA MALAYSIA,2023,82.6
7563,IJAZAH SARJANA MUDA PERUBATAN DAN PEMBEDAHAN,Ijazah pertama,WIDAD UNIVERSITY COLLEGE,2023,82.6
7564,IJAZAH SARJANA MUDA TEKNOLOGI MAKLUMAT (KEPUJIAN) (TEKNOLOGI RANGKAIAN),Ijazah pertama,UNIVERSITI ISLAM SELANGOR,2023,82.6
7565,SARJANA MUDA KOMUNIKASI MEDIA BAHARU (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,82.6
7566,SARJANA MUDA SAINS (KEPUJIAN) (TEKNOLOGI DAN PENGURUSAN PERLADANGAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,82.6
7567,SARJANA MUDA SISTEM MAKLUMAT (KEPUJIAN) PENGKOMPUTERAN PERNIAGAAN,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,82.6
7568,BACHELOR OF ACCOUNTANCY (HONOURS),Ijazah pertama,UNIVERSITI TEKNOLOGI SARAWAK,2023,82.5
7569,BACHELOR OF BUSINESS (ACCOUNTING),Ijazah pertama,SWINBURNE UNIVERSITY OF TECHNOLOGY SARAWAK CAMPUS,2022,82.5
7570,IJAZAH SARJANA MUDA PENDIDIKAN VOKASIONAL (BINAAN BANGUNAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2022,82.5
7571,IJAZAH SARJANA MUDA REKA BENTUK (ANIMASI) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,82.5
7572,IJAZAH SARJANA MUDA SAINS KOMPUTER DENGAN KEPUJIAN (SISTEM MAKLUMAT),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,82.5
7573,SARJANA MUDA PENGURUSAN PERNIAGAAN (PENGURUSAN KORPORAT) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2023,82.5
7574,SARJANA MUDA SAINS (KEPUJIAN) (KIMIA),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2023,82.5
7575,SARJANA MUDA SAINS MAKLUMAT (KEPUJIAN) PENGURUSAN SISTEM MAKLUMAT,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,82.5
7576,SARJANA MUDA TEKNOLOGI MAKLUMAT (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,82.5
7577,BACHELOR OF ACCOUNTANCY (HONOURS),Ijazah pertama,UNIVERSITI POLY-TECH MALAYSIA,2022,82.4
7578,BACHELOR OF ACCOUNTANCY (HONS),Ijazah pertama,INFRASTRUCTURE UNIVERSITY KUALA LUMPUR,2023,82.4
7579,BACHELOR OF BIOTECHNOLOGY (HONS),Ijazah pertama,INTI INTERNATIONAL UNIVERSITY,2023,82.4
7580,BACHELOR OF BUSINESS ADMINISTRATION (HONOURS),Ijazah pertama,RAFFLES UNIVERSITY,2022,82.4
7581,BACHELOR OF BUSINESS ADMINISTRATION (HONOURS) IN FINANCE,Ijazah pertama,INTERNATIONAL UNIVERSITY OF MALAYA-WALES,2023,82.4
7582,BACHELOR OF CHEMICAL ENGINEERING WITH HONOURS,Ijazah pertama,XIAMEN UNIVERSITY MALAYSIA,2023,82.4
7583,BACHELOR OF SCIENCE (HONS) ACCOUNTING AND FINANCE,Ijazah pertama,KOLEJ ANTARABANGSA IMPERIUM,2022,82.4
7584,BACHELOR OF SCIENCE (HONS) IN APPLIED PHYSICS,Ijazah pertama,UNIVERSITI TEKNOLOGI PETRONAS,2022,82.4
7585,"BACHELOR OF SCIENCE (HONS) IN BANKING AND FINANCE 3+0 IN COLLABORATION WITH BANGOR UNIVERSITY, UK",Ijazah pertama,KOLEJ MDIS MALAYSIA,2022,82.4
7586,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN) PEMASARAN,Ijazah pertama,UNIVERSITI SULTAN AZLAN SHAH,2022,82.4
7587,SARJANA MUDA PENTADBIRAN ALAM SEKITAR (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,82.4
7588,SARJANA MUDA SAINS (KEWANGAN ISLAM) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2023,82.4
